NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
137,1-Methylcyclohexene,CC1=CCCCC1,104.2821366,81.73417301,77.69403413,35001.10458,42896.23671,10.76082106,0.815948141,375.0291734
138,1-Heptyne,C#CCCCCC,83.03944818,76.88152123,25.17377564,32129.61126,44467.96029,8.409833023,0.722533956,368.2261921
139,Cycloheptene,C1=CCCCCC1,108.1296853,91.24560138,54.56842603,35302.75972,42576.62129,10.04549665,0.829158319,372.3532573
140,2-Heptyne,CC#CCCCC,69.02266099,123.2161057,31.6331179,32947.70599,45438.03914,7.170095312,0.725112848,373.5346288
141,Methylenecyclohexane,C=C1CCCCC1,125.1909014,97.3836171,65.23012638,37570.22404,42371.52298,11.99113123,0.886685712,376.3221455
142,"1,6-Heptadiene",C=CCCCC=C,52.35837136,57.48924997,43.93469197,32154.57302,44695.21573,18.18397447,0.719418678,364.8882417
143,"2-Methyl-1,5-hexadiene",C=C(C)CCC=C,82.65311135,97.94704552,57.10700452,33242.64719,44850.40316,16.80907787,0.741189484,365.0448252
144,But-2-en-2-ylcyclopropane,CC(C1CC1)=CC,101.5117411,73.66212399,69.2562922,34235.84181,43829.47485,17.09231573,0.781114579,369.0068308
145,"2,4-Dimethyl-1,3-pentadiene",C=C(C)C=C(C)C,106.7469416,106.6759622,116.0025495,33268.62646,43947.16562,19.82699633,0.757014155,378.6383654
146,Tetramethylallene,CC(C)=C=C(C)C,105.5196803,97.65908556,50.03890553,33247.49902,45640.72506,12.47249941,0.728461237,369.4259868
147,"5-Methyl-1,4-hexadiene",C=CCC=C(C)C,96.73698884,97.12054995,61.51257503,32539.77878,44517.90145,21.17787474,0.730936943,370.9038124
148,"1,2-Dimethylcyclopentene",CC1=C(C)CCC1,99.47212723,77.60161871,93.40592205,34381.22024,43119.15454,9.519702344,0.797353766,375.3186779
149,Ethylidenecyclopentane,CC=C1CCCC1,102.3423145,80.70306454,76.77160076,34939.59946,42749.59381,10.53565387,0.817308338,373.5580356
150,"1,2-Heptadiene",C=C=CCCCC,72.61383061,46.53364902,41.18148218,32185.18935,44682.53963,12.85058161,0.720307968,369.8654334
151,Vinylcyclopentane,C=CC1CCCC1,92.64769836,78.81908283,39.27275355,32712.71579,42161.33502,20.99081641,0.775893737,364.3208962
152,3-Ethylcyclopentene,CCC1C=CCC1,101.00505,74.21535277,54.57990722,34319.7,43435.53544,16.13095369,0.790129549,367.595629
153,"1,5-Dimethylcyclopentene",CC1CCC=C1C,98.81450632,75.81898657,75.49396006,34212.89473,43741.26702,16.67323411,0.782165151,372.1471192
154,"4,4-Dimethylcyclopentene",CC1(C)CC=CC1,97.95756314,87.60454701,60.05617113,32731.28362,43047.88011,15.7518058,0.760346004,367.5336128
155,"1,4-Dimethylcyclopentene",CC1CC=C(C)C1,97.80447855,77.96610937,76.35278654,34215.54678,43750.05972,16.60108979,0.782068573,372.1254181
156,"trans-3,4-Dimethylcyclopentene",C[C@@H]1[C@@H](C)C=CC1,93.80515832,77.39414297,65.04457724,32684.95192,42665.3495,23.09608914,0.76607721,363.9612383
157,"3,3-Dimethylcyclopentene",CC1(C)C=CCC1,100.3662382,85.81031116,64.63341845,33032.96155,43158.19466,18.88120883,0.765392571,369.3522025
158,Dicyclopropylmethane,C1(CC2CC2)CC1,30.69957035,-26.93325382,21.4854473,31600.68649,42268.70588,3.258142735,0.747614242,400.9166243
159,"2,4-Hexadiene, 3-methyl-, (Z,Z)-",C/C=C(C)\C=C/C,102.9985168,86.11022823,85.39245077,32329.04959,43727.59622,11.34704096,0.739328305,377.624633
160,"Hepta-2,4-diene",CC=CC=CCC,99.14920293,93.58917917,77.25777445,31728.99527,43647.31304,10.59944935,0.726940402,373.104274
161,"2,3-Dimethyl-1,4-pentadiene",C=C(C)C(C)C=C,106.3692202,89.66735773,75.87478287,31855.51208,43028.93177,23.56552775,0.740327746,370.6449737
162,"4,4-Dimethyl-2-pentyne",CC#CC(C)(C)C,142.7350298,145.2000259,126.0125896,32174.845,44285.23698,5.662205699,0.726536588,363.6867643
163,"1,4-Pentadiene, 3,3-dimethyl-",C=CC(C)(C)C=C,171.5562539,95.22431382,53.9595992,30549.16745,41916.53042,22.61011822,0.728809545,357.7847076
164,"4-Methylhexa-1,4-diene",C=CCC(C)=CC,96.99259105,92.03685208,60.11754194,32989.07834,44757.14119,15.54280679,0.737068487,372.3166044
165,"Hepta-1,5-diene",C=CCCC=CC,72.6909244,66.44455349,58.07884377,32386.52758,44817.06937,13.756789,0.722638228,368.4749075
166,"3-Methyl-1,5-hexadiene",C=CC(C)CC=C,95.36747478,76.04703975,55.06803241,30930.74818,42539.72113,24.6001118,0.727102749,359.7980498
167,"2,3-Dimethylpenta-1,3-diene",C=C(C)C(C)=CC,108.5194998,91.75184636,108.9039805,33445.48418,43897.35458,14.60283908,0.761902044,380.3013873
168,1-Ethyl-1-cyclopentene,CCC1=CCCC1,100.0388349,81.04114436,67.90715501,34794.46818,43193.82162,9.766695154,0.805542711,376.7354157
169,5-Methyl-1-hexyne,C#CCCC(C)C,106.1095849,90.83340853,23.16949771,31206.60994,43517.41414,9.527163514,0.717106256,366.2576644
170,"Hepta-1,3-diene",C=CC=CCCC,106.9109559,82.33688828,76.36173788,32153.86196,43151.73023,10.25859487,0.745134941,383.3570592
171,"Cyclopropane, 1-methyl-1-isopropenyl-",C=C(C1(C)CC1)C,126.9311414,99.08604919,71.6947447,34662.49769,43640.33678,31.68123832,0.794276585,370.2811258
