RON_Molecules,Experiment,SMILES
2-Methyl-2-butene,97.3,CC=C(C)C
"2,3-Dimethyl-1,3-butadiene",99.2,CC(=C)C(=C)C
3-Methyl-3-hexene (cis),96,CC/C=C(\CC)/C
"3,3-Dimethyl-1-pentene",103.5,CCC(C=C)(C)C
n-Propylbenzene,111,CCCc1ccccc1
1-Methyl-3-ethylcyclopentane,57.6,CCC1CCC(C1)C
3-Methyl-3-hexene (trans),96.4,CC/C=C(/CC)\C
1-PENTANOL,78,CCCCCO
4-Methyl-1-hexene,86.4,CC(CC)CC=C
"1,4-Dimethylcyclohexane (cis)",67.2,[C@@H]1(C)CC[C@@H](CC1)C
Ethyl Levulinate,110,CCOC(=O)CCC(=O)C
2-Methylfuran,103,Cc1ccco1
4-Methyl-2-hexene (trans),96.8,C/C=C/C(CC)C
alpha-Pinene,83.1,CC1=CCC2CC1C2(C)C
"2,2,3,3-Tetramethylhexane",112.8,CCCC(C(C)(C)C)(C)C
2-Methylpentane,73.4,CCCC(C)C
Vinylcyclohexane,64.3,C=CC1CCCCC1
"2,4-Hexadiene",97.1,C/C=C/C=C/C
"3,4,4-Trimethyl-2-pentene",102.5,CC=C(C(C)(C)C)C
1-Pentene,90.9,CCCC=C
"cis,cis,trans-1,2,4-Trimethylcyclopentane",89.2,[C@@H]1(C)C[C@H]([C@H](C1)C)C
2-Methyl-1-hexene,90.7,CCCCC(=C)C
3-Methyl-2-ethyl-1-butene,97,CCC(=C)C(C)C
3-Methyl-2-hexene (trans),91.4,CCC/C(=C/C)/C
"2,3-Dimethyl-1-butene",101.3,CC(=C)C(C)C
Isopropylcyclopropane,100.3,CC(C1CC1)C
"2,2-Dimethyl-3-ethylpentane",112.1,CCC(C(C)(C)C)CC
"1,2-Dimethylcyclohexane (cis)",80.9,[C@@H]1(C)CCCC[C@@H]1C
"2,3,3-Trimethyl-1-pentene",105.3,CCC(C(=C)C)(C)C
"3,3-Dimethylhexane",75.5,CCCC(CC)(C)C
"3,3,5-Trimethylcyclohexene",96.5,CC1CC=CC(C1)(C)C
3-Methylhexane,52,CCCC(CC)C
"2,5-Dimethyl-3-hexene (trans)",99.8,CC(/C=C/C(C)C)C
"cis,trans,trans-1,2,4-trimethylcyclohexane",72.8,[C@@H]1(C)CC[C@H]([C@@H](C1)C)C
"1,2,3-Trimethylcyclohexane (cis,trans,cis)",83.4,[C@@H]1(C)[C@@H](C)CCC[C@H]1C
"2,2-Dimethylpropane",85.5,CC(C)(C)C
tert-Butylcyclohexane,98.5,CC(C1CCCCC1)(C)C
tert-Amylcyclohexane,90.4,CCC(C1CCCCC1)(C)C
Dicyclopentadiene,107.4,C1=CC2C(C1)C1C=CC2C1
2-Methyldecane,0,CCCCCCCCC(C)C 
