RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
"1,1,2-Trimethylcyclohexane",0.215,-0.707,-0.673,-0.129,-0.711,-0.884,0.935,1.173,-0.652,0.484,0.581,-1.087,Training,98.25,2.55,CC1CCCCC1(C)C,"1,1,2-Trimethylcyclohexane",95.7
1-Ethylcyclohexene,0.172,0.38,0.297,0.416,-0.154,-0.782,1.076,-0.797,0.495,-1.034,0.201,0.287,Training,77.71,8.19,CCC1=CCCCC1,1-Ethylcyclohexene,85.9
4-Vinylcyclohexene,0.346,1.449,0.453,1.695,0.5,0.036,0.161,-0.657,0.221,-1.793,-0.572,-0.337,Training,72.51,4.49,C=CC1CCC=CC1,4-Vinylcyclohexene,77
"1,2,4-Trimethyl-4-isopropenylcyclohexene",2.094,1.005,0.779,1.434,0.768,0.075,2.679,-2.445,-0.913,1.243,1.806,0.116,Training,100.82,8.02,CC1=C(C)CC(CC1)(C)C(=C)C,"1,2,4-Trimethyl-4-isopropenylcyclohexene",92.8
"3,4-Dimethyl-2-pentene (cis)",-0.309,0.251,-0.344,-0.121,1.525,0.516,-0.843,-0.561,-0.751,1.243,-0.201,1,Training,101.36,5.36,C/C=C(\C(C)C)/C,"3,4-Dimethyl-2-pentene (cis)",96
6-Methyl-2-heptene,-0.44,0.728,1.502,0.4,-0.445,0.272,0.548,-0.144,-0.548,0.484,0.465,-0.701,Training,83.67,12.37,C/C=C/CCC(C)C,6-Methyl-2-heptene,71.3
2-Methyl-3-heptene (trans),-0.353,0.458,1.466,0.27,-0.375,0.303,-0.156,-0.422,-0.566,0.484,0.465,-0.723,Training,87.3,7.1,CCC/C=C/C(C)C,2-Methyl-3-heptene (trans),94.4
2-Methyl-3-ethyl-2-pentene,-0.003,-0.515,-0.174,-0.105,0.742,-0.507,0.795,-2.445,-0.085,1.243,0.756,1.118,Training,95.89,0.29,CCC(=C(C)C)CC,2-Methyl-3-ethyl-2-pentene,95.6
ETHENE,-1.751,-2.082,-2.761,-0.341,1.665,1.467,-1.67,1.569,-0.719,-1.793,-1.918,1.631,Training,117.61,20.31,C=C,ETHENE,97.3
1-Hexene,-0.964,0.953,0.335,0.31,-0.168,0.563,-0.332,0.049,-0.292,-1.034,-0.441,-0.04,Training,80.56,4.16,CCCCC=C,1-Hexene,76.4
2-Hexene (trans),-0.877,0.7,0.277,-0.015,0.155,0.437,-0.385,-0.229,-0.445,-0.275,-0.507,0.094,Training,91.47,1.23,CCC/C=C/C,2-Hexene (trans),92.7
3-Methyl-1-pentene,-0.79,0.953,-0.276,0.164,0.564,0.775,-0.438,0.124,-0.468,-0.275,-0.684,0.034,Training,96.15,0.15,CC(C=C)CC,3-Methyl-1-pentene,96
3-Methyl-2-pentene (trans),-0.659,0.331,-0.416,-0.276,1.189,-0.051,-0.403,-0.764,-0.719,0.484,-0.519,1.326,Training,96.02,1.18,CC/C(=C/C)/C,3-Methyl-2-pentene (trans),97.2
4-Methyl-2-pentene,-0.746,0.439,-0.057,-0.195,0.316,0.571,-0.913,0.081,-0.441,0.484,-0.745,0.116,Training,101.93,2.63,CC=CC(C)C,4-Methyl-2-pentene,99.3
4-Methyl-2-pentene (trans),-0.746,0.439,-0.057,-0.195,0.316,0.571,-0.913,0.081,-0.441,0.484,-0.745,0.116,Training,101.93,3.93,C/C=C/C(C)C,4-Methyl-2-pentene (trans),98
"2,3-Dimethyl-2-butene",-0.527,-1.363,-1.223,-0.496,1.699,0.138,0.037,-0.946,-1.03,1.243,-0.531,1.831,Training,96.98,0.42,CC(=C(C)C)C,"2,3-Dimethyl-2-butene",97.4
1-Heptene,-0.79,0.758,1.13,0.563,-0.78,0.421,0.073,-0.037,0.05,-1.034,0.17,-0.478,Training,61.21,6.71,CCCCCC=C,1-Heptene,54.5
3-Methyl-1-hexene,-0.615,0.843,0.421,0.416,-0.163,0.586,-0.068,0.21,-0.202,-0.275,-0.115,-0.411,Training,85.75,3.55,CC(C=C)CCC,3-Methyl-1-hexene,82.2
"2,4-Dimethylhexane",-0.659,-1.062,0.677,-0.252,-1.032,0.028,1.164,0.21,0.545,1.243,0.847,-0.797,Training,62.21,2.99,CCC(CC(C)C)C,"2,4-Dimethylhexane",65.2
3-Methyl-3-ethylpentane,-0.44,-1.13,-0.263,-0.366,-0.179,-0.349,0.53,0.82,-0.647,1.243,0.772,-0.753,Training,97.42,16.62,CCC(CC)(CC)C,3-Methyl-3-ethylpentane,80.8
"2,2,3-Trimethylpentane",-0.396,-1.027,0.048,-0.463,-0.313,-0.381,0.724,1.248,-1.138,2.003,0.45,-0.745,Training,105.17,4.43,CCC(C(C)(C)C)C,"2,2,3-Trimethylpentane",109.6
Dipentene,1.745,1.329,-0.223,5.277,0.314,-0.42,2.133,-1.749,1.044,0.484,-0.244,0.146,Training,84.85,5.75,CC1=CC[C@H]2C[C@@H]1C2(C)C,Dipentene,90.6
TERT-BUTANOL,-0.527,-0.273,-1.926,-0.748,0.765,-0.129,-1.811,0.82,-0.445,0.484,-2.047,2.566,Training,100.71,4.29,CC(O)(C)C,TERT-BUTANOL,105
Butyl Levulinate,3.23,1.181,4.085,0.962,-1.237,-1.812,-0.632,-1.417,0.072,-0.275,-1.818,1.014,Training,96.55,1.45,CCCCOC(=O)CCC(=O)C,Butyl Levulinate,98
Toluene,0.871,0.559,-0.884,-0.61,1.212,1.876,-1.371,1.879,-0.67,-1.034,-0.901,0.651,Training,113.52,6.58,Cc1ccccc1,Toluene,120.1
"1,3-Dimethylbenzene",1.308,0.923,-0.427,-0.471,0.716,1.711,-1.054,1.569,-0.598,-0.275,-0.335,0.309,Training,114.19,3.31,Cc1cccc(c1)C,"1,3-Dimethylbenzene",117.5
